"2025-08-21 at 16:17"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2025-08-21	16:17:31	1.35091	1.32775	-1.94902e1	5.14703e1	9.90630e1	3.8892030e-4	1.2068510e-2	1.2152802e1	1.4641166e-1	
2025-08-21	16:17:31	1.19045	1.33683	-1.94112e1	5.14670e1	9.90607e1	3.4278631e-4	1.2143433e-2	1.2148606e1	1.4658512e-1	
2025-08-21	16:17:32	1.41135	1.33446	-1.94321e1	5.14703e1	9.90587e1	4.0626525e-4	1.2123525e-2	1.2154481e1	1.4652936e-1	
2025-08-21	16:17:32	1.67164	1.32935	-1.94762e1	5.14736e1	9.90632e1	4.8106908e-4	1.2081682e-2	1.2147767e1	1.4652604e-1	
2025-08-21	16:17:33	1.18026	1.33461	-1.94300e1	5.14703e1	9.90645e1	3.3986568e-4	1.2125492e-2	1.2149446e1	1.4646785e-1	
2025-08-21	16:17:33	1.29122	1.33262	-1.94476e1	5.14703e1	9.90635e1	3.7175416e-4	1.2108862e-2	1.2151124e1	1.4646858e-1	
2025-08-21	16:17:34	1.61718	1.32597	-1.95061e1	5.14703e1	9.90604e1	4.6539306e-4	1.2053489e-2	1.2153642e1	1.4629887e-1	
2025-08-21	16:17:34	1.51851	1.32546	-1.95102e1	5.14736e1	9.90632e1	4.3708086e-4	1.2049555e-2	1.2153642e1	1.4658327e-1	
2025-08-21	16:17:35	1.53857	1.32893	-1.94796e1	5.14769e1	9.90652e1	4.4286251e-4	1.2078344e-2	1.2155320e1	1.4658179e-1	
2025-08-21	16:17:35	1.49735	1.33368	-1.94384e1	5.14736e1	9.90619e1	4.3100118e-4	1.2117385e-2	1.2157000e1	1.4641239e-1	
2025-08-21	16:17:36	1.49451	1.33482	-1.94286e1	5.14736e1	9.90609e1	4.3016672e-4	1.2126684e-2	1.2156161e1	1.4647042e-1	
2025-08-21	16:17:36	1.29947	1.33321	-1.94423e1	5.14769e1	9.90645e1	3.7413835e-4	1.2113690e-2	1.2148606e1	1.4646785e-1	
2025-08-21	16:17:37	1.26531	1.32824	-1.94861e1	5.14736e1	9.90614e1	3.6430358e-4	1.2072324e-2	1.2147767e1	1.4635546e-1	
2025-08-21	16:17:37	1.48020	1.32569	-1.95085e1	5.14703e1	9.90607e1	4.2605400e-4	1.2051224e-2	1.2159518e1	1.4641332e-1	
2025-08-21	16:17:38	1.42043	1.33179	-1.94551e1	5.14670e1	9.90607e1	4.0888786e-4	1.2101829e-2	1.2146928e1	1.4641332e-1	
2025-08-21	16:17:38	1.50611	1.33474	-1.94295e1	5.14670e1	9.90597e1	4.3350458e-4	1.2126088e-2	1.2149446e1	1.4635674e-1	
2025-08-21	16:17:39	1.49462	1.33432	-1.94328e1	5.14703e1	9.90632e1	4.3022632e-4	1.2122869e-2	1.2151963e1	1.4641147e-1	
2025-08-21	16:17:39	1.52939	1.33227	-1.94501e1	5.14703e1	9.90672e1	4.4023990e-4	1.2106478e-2	1.2155320e1	1.4646580e-1	
2025-08-21	16:17:40	1.66626	1.32649	-1.95014e1	5.14736e1	9.90622e1	4.7951936e-4	1.2057900e-2	1.2155320e1	1.4629757e-1	
2025-08-21	16:17:40	1.63848	1.32830	-1.94855e1	5.14736e1	9.90622e1	4.7153234e-4	1.2072861e-2	1.2152802e1	1.4641222e-1	
2025-08-21	16:17:41	1.56920	1.33507	-1.94262e1	5.14769e1	9.90630e1	4.5162439e-4	1.2128889e-2	1.2156161e1	1.4641166e-1	
2025-08-21	16:17:41	1.51271	1.33599	-1.94182e1	5.14769e1	9.90632e1	4.3541193e-4	1.2136459e-2	1.2142732e1	1.4641147e-1	
2025-08-21	16:17:42	1.65259	1.33222	-1.94510e1	5.14736e1	9.90642e1	4.7558546e-4	1.2105524e-2	1.2160357e1	1.4646802e-1	
2025-08-21	16:17:42	1.58267	1.33009	-1.94700e1	5.14736e1	9.90604e1	4.5549869e-4	1.2087523e-2	1.2157000e1	1.4647079e-1	
2025-08-21	16:17:43	1.36837	1.32933	-1.94767e1	5.14736e1	9.90600e1	3.9392709e-4	1.2081146e-2	1.2163714e1	1.4635657e-1	
2025-08-21	16:17:43	1.28333	1.33281	-1.94460e1	5.14769e1	9.90632e1	3.6948919e-4	1.2110173e-2	1.2147767e1	1.4646877e-1	
2025-08-21	16:17:44	1.42584	1.33632	-1.94157e1	5.14736e1	9.90604e1	4.1043758e-4	1.2138962e-2	1.2159518e1	1.4664254e-1	
2025-08-21	16:17:44	1.45361	1.32939	-1.94759e1	5.14736e1	9.90622e1	4.1842460e-4	1.2081921e-2	1.2154481e1	1.4652676e-1	
2025-08-21	16:17:45	1.64120	1.33049	-1.94663e1	5.14736e1	9.90627e1	4.7230720e-4	1.2091040e-2	1.2154481e1	1.4652640e-1	
2025-08-21	16:17:45	1.58806	1.33566	-1.94214e1	5.14736e1	9.90604e1	4.5704841e-4	1.2133538e-2	1.2156161e1	1.4658532e-1	
2025-08-21	16:17:46	1.41879	1.33338	-1.94410e1	5.14736e1	9.90627e1	4.0841102e-4	1.2115001e-2	1.2150285e1	1.4652640e-1	
2025-08-21	16:17:46	1.36501	1.33253	-1.94488e1	5.14703e1	9.90597e1	3.9297342e-4	1.2107670e-2	1.2158678e1	1.4652861e-1	
2025-08-21	16:17:47	1.21386	1.33108	-1.94610e1	5.14769e1	9.90632e1	3.4952163e-4	1.2095928e-2	1.2150285e1	1.4635417e-1	
2025-08-21	16:17:47	1.43123	1.33135	-1.94590e1	5.14769e1	9.90602e1	4.1198730e-4	1.2097775e-2	1.2156161e1	1.4647099e-1	
2025-08-21	16:17:48	1.55260	1.33570	-1.94210e1	5.14736e1	9.90612e1	4.4685602e-4	1.2133955e-2	1.2151963e1	1.4652751e-1	
2025-08-21	16:17:48	1.52272	1.33587	-1.94192e1	5.14736e1	9.90637e1	4.3827295e-4	1.2135684e-2	1.2155320e1	1.4669734e-1	
2025-08-21	16:17:49	1.39757	1.33641	-1.94144e1	5.14736e1	9.90642e1	4.0233135e-4	1.2140214e-2	1.2157000e1	1.4652528e-1	
2025-08-21	16:17:49	1.14835	1.34329	-1.93548e1	5.14703e1	9.90635e1	3.3068656e-4	1.2197017e-2	1.2154481e1	1.4646858e-1	
2025-08-21	16:17:50	9.92699e-1	1.33672	-1.94116e1	5.14736e1	9.90654e1	2.8592348e-4	1.2142896e-2	1.2154481e1	1.4646710e-1	
2025-08-21	16:17:50	9.96841e-1	1.35675	-1.92386e1	5.14703e1	9.90627e1	2.8711557e-4	1.2308001e-2	1.2156161e1	1.4652640e-1	
2025-08-21	16:17:51	1.19459	1.37035	-1.91222e1	5.14769e1	9.90635e1	3.4397840e-4	1.2419879e-2	1.2154481e1	1.4658308e-1	
2025-08-21	16:17:51	1.48944	1.33560	-1.94214e1	5.14736e1	9.90647e1	4.2873620e-4	1.2133538e-2	1.2153642e1	1.4646766e-1	
2025-08-21	16:17:52	2.07121	1.32452	-1.95187e1	5.14670e1	9.90619e1	5.9574842e-4	1.2041807e-2	1.2154481e1	1.4635509e-1	
2025-08-21	16:17:52	1.90447	1.33140	-1.94585e1	5.14670e1	9.90607e1	5.4788589e-4	1.2098610e-2	1.2149446e1	1.4647061e-1	
2025-08-21	16:17:53	9.96459e-1	1.33286	-1.94453e1	5.14703e1	9.90649e1	2.8699636e-4	1.2111067e-2	1.2163714e1	1.4641017e-1	
2025-08-21	16:17:53	1.02955	1.33438	-1.94323e1	5.14736e1	9.90625e1	2.9653310e-4	1.2123227e-2	1.2151963e1	1.4635472e-1	
2025-08-21	16:17:54	1.77592	1.33347	-1.94403e1	5.14736e1	9.90622e1	5.1099061e-4	1.2115657e-2	1.2149446e1	1.4635491e-1	
2025-08-21	16:17:54	1.94829	1.32747	-1.94930e1	5.14769e1	9.90607e1	5.6046247e-4	1.2065708e-2	1.2155320e1	1.4641332e-1	
2025-08-21	16:17:55	1.55713	1.32751	-1.94923e1	5.14769e1	9.90630e1	4.4816732e-4	1.2066364e-2	1.2153642e1	1.4646894e-1	
2025-08-21	16:17:55	1.21870	1.33229	-1.94508e1	5.14802e1	9.90604e1	3.5089254e-4	1.2105464e-2	1.2152802e1	1.4647079e-1	
2025-08-21	16:17:56	1.27733	1.33144	-1.94579e1	5.14769e1	9.90635e1	3.6776065e-4	1.2098908e-2	1.2151124e1	1.4652585e-1	
2025-08-21	16:17:56	1.72691	1.33339	-1.94409e1	5.14736e1	9.90630e1	4.9692392e-4	1.2115061e-2	1.2158678e1	1.4641166e-1	
2025-08-21	16:17:57	1.76391	1.33438	-1.94325e1	5.14736e1	9.90609e1	5.0753355e-4	1.2122988e-2	1.2157000e1	1.4647042e-1	
